score,Age,Seconds
1000,6.0,918.0
990,8.58,982.74
980,9.16,1035.0
970,10.0,1063.48
960,11.0,1096.92
950,12.0,1118.6000000000001
940,12.0,1138.0
930,12.0,1151.06
920,12.0,1168.28
910,13.0,1183.22
900,13.0,1193.8
890,13.0,1220.1399999999999
880,14.0,1239.0
870,14.0,1248.54
860,14.0,1263.12
850,14.0,1283.4
840,14.0,1299.0
830,15.0,1308.0
820,15.0,1320.44
810,15.0,1336.0
800,15.0,1345.6
790,16.0,1352.18
780,16.0,1355.76
770,16.0,1374.68
760,16.0,1382.92
750,16.0,1394.0
740,17.0,1403.08
730,17.0,1413.0
720,17.0,1427.24
710,17.0,1437.8200000000002
700,18.0,1444.0
690,18.0,1451.98
680,19.0,1458.56
670,20.0,1473.0
660,20.0,1480.0
650,21.0,1486.3
640,21.0,1496.0
630,22.0,1504.0
620,22.0,1511.04
610,22.0,1516.0
600,22.0,1525.4
590,23.0,1531.78
580,23.0,1537.0
570,23.0,1546.94
560,24.0,1551.0
550,24.0,1556.1
540,24.0,1562.0
530,25.0,1566.26
520,25.0,1572.0
510,26.0,1576.42
500,26.0,1583.0
490,27.0,1587.58
480,27.0,1594.0
470,27.0,1599.0
460,28.0,1603.6400000000003
450,28.0,1608.9
440,29.0,1612.48
430,29.0,1615.06
420,30.0,1618.64
410,30.0,1624.2199999999998
400,31.0,1627.0
390,31.0,1632.38
380,31.960000000000036,1639.0
370,32.0,1645.0
360,33.0,1653.1200000000001
350,33.0,1660.0
340,34.0,1667.0
330,35.0,1674.0
320,35.0,1679.44
310,36.0,1687.0
300,36.0,1691.6
290,37.0,1697.0
280,37.0,1701.76
270,38.0,1707.0
260,38.0,1710.0
250,39.0,1714.5
240,39.0,1720.0
230,40.0,1724.6599999999999
220,41.0,1729.24
210,41.0,1732.0
200,42.0,1737.0
190,42.0,1741.0
180,43.0,1749.0
170,43.0,1753.0
160,44.0,1756.7199999999998
150,44.0,1759.3
140,45.0,1765.0
130,46.0,1772.46
120,47.0,1775.04
110,48.0,1779.0
100,48.0,1783.2
90,48.77999999999997,1788.78
80,50.0,1793.0
70,51.0,1799.0
60,52.0,1802.0
50,54.0,1806.0
40,56.0,1810.68
30,57.0,1817.0
20,59.0,1822.0
10,60.0,1825.0
0,73.0,1830.0
